epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65956,2.70563,5.27366,2.68737,0.00014,0.01667,0.00016,4e-05,4.45479,6.14762,3.75236,0,0,0
2,10.373,2.62137,4.96508,2.80362,0.00014,0.01667,8e-05,4e-05,4.03153,6.2881,3.54591,1.17822e-06,1.17822e-06,1.17822e-06
3,11.119,2.72784,5.49314,2.56835,0.00014,0.01667,0.00012,1e-05,3.99855,6.03644,3.39371,2.33288e-06,2.33288e-06,2.33288e-06
4,11.8009,2.77084,5.23948,2.61519,0.00015,0.01667,0.00139,0.00097,3.41324,5.31735,3.42086,3.46397e-06,3.46397e-06,3.46397e-06
5,12.4598,3.16758,5.50588,2.94288,0.00015,0.01667,0.00402,0.00203,3.38696,5.47856,3.38159,4.5715e-06,4.5715e-06,4.5715e-06
6,13.1175,2.66356,5.25266,2.68071,0.00014,0.01667,0.0159,0.00875,3.18544,5.75765,3.35685,5.65548e-06,5.65548e-06,5.65548e-06
7,13.754,2.90891,5.537,2.81121,0.00014,0.01667,0.0159,0.0065,3.28718,5.81701,3.43872,6.71588e-06,6.71588e-06,6.71588e-06
8,14.4006,3.27413,5.38152,3.11527,0.00014,0.01667,0.0009,0.00063,3.44061,5.8183,3.49854,7.75273e-06,7.75273e-06,7.75273e-06
9,15.0678,2.86063,5.52849,2.7584,0.00014,0.01667,0.0009,0.00063,3.39271,5.80374,3.521,8.76602e-06,8.76602e-06,8.76602e-06
10,15.6971,2.54581,5.09023,2.6805,0.00014,0.01667,0.00078,0.00055,3.32872,5.78419,3.56014,9.75574e-06,9.75574e-06,9.75574e-06
11,16.3298,2.53323,5.12444,2.71436,0.00014,0.01667,0.0007,0.00052,3.31041,5.71858,3.57676,1.07219e-05,1.07219e-05,1.07219e-05
12,17.007,2.88505,5.14413,2.76046,0.00014,0.01667,0.00073,0.00048,3.27053,5.68183,3.59574,1.16645e-05,1.16645e-05,1.16645e-05
13,17.697,3.06652,5.23586,3.14013,0.00014,0.01667,0.00063,0.00041,3.25349,5.60704,3.61439,1.25835e-05,1.25835e-05,1.25835e-05
14,18.3437,2.60186,5.66418,2.81265,0.00014,0.01667,0.00065,0.0004,3.28278,5.55206,3.62067,1.3479e-05,1.3479e-05,1.3479e-05
15,18.9879,2.64581,4.84128,2.80816,0.00014,0.01667,0.00075,0.00049,3.29649,5.54944,3.6119,1.43509e-05,1.43509e-05,1.43509e-05
